,country,city,parameter,avg_24h,pm10_aqi,pm25_aqi
420,FR,Meurthe-et-Moselle,o3,55.56000022888183,0.0,0.0
421,FR,Meuse,no2,19.107142737933568,0.0,0.0
422,FR,Gers,o3,71.85454524647106,0.0,0.0
423,GB,Croydon,pm25,3.475,0.0,14.479166666666668
424,FR,Val-de-Marne,pm10,10.623809587387811,9.836860729062789,0.0
425,GB,Camden,pm25,5.4,0.0,22.500000000000004
426,GB,Cambridge,no2,41.0,0.0,0.0
427,FR,Haute-Corse,pm10,13.483333428700766,12.484567989537746,0.0
428,FR,Charente,o3,62.63000087738037,0.0,0.0
429,FR,Alpes-de-Haute-Provence,no2,2.8300000071525573,0.0,0.0
430,FR,Puy-de-Dôme,pm10,11.061538593700298,10.242165364537314,0.0
431,FR,Ille-et-Vilaine,no2,23.47499990463257,0.0,0.0
432,FR,Haute-Garonne,no2,8.308333357175192,0.0,0.0
433,FR,Meuse,o3,58.72499990463257,0.0,0.0
434,FR,Ille-et-Vilaine,pm10,20.299999713897705,18.796296031386763,0.0
